event_trigger,route_id,vehicle_type,propulsion,physical_vehicle_id,trip_number,start_minutes,start,sequence,customer_id,delivered_weight_kg,delivered_volume_m3
10:00,EV-3000-001-T01,EV-3000,electric,EV-3000-001,1,1088.0,18:08,1,4,1443.562,3.71834
10:00,EV-3000-001-T01,EV-3000,electric,EV-3000-001,1,1088.0,18:08,2,10,759.985,2.942425
10:00,EV-3000-001-T01,EV-3000,electric,EV-3000-001,1,1088.0,18:08,3,5,731.601,2.31239
10:00,EV-3000-001-T02,EV-3000,electric,EV-3000-001,2,1293.23897694,21:33,1,63,3000.0,8.20587
10:00,EV-3000-002-T01,EV-3000,electric,EV-3000-002,1,604.0,10:04,1,60,906.629,2.381062
10:00,EV-3000-002-T01,EV-3000,electric,EV-3000-002,1,604.0,10:04,2,13,540.087,1.27918
10:00,EV-3000-002-T01,EV-3000,electric,EV-3000-002,1,604.0,10:04,3,11,1325.53,4.36316
10:00,EV-3000-002-T02,EV-3000,electric,EV-3000-002,2,930.290210533,15:30,1,24,1262.167,2.95599
10:00,EV-3000-002-T02,EV-3000,electric,EV-3000-002,2,930.290210533,15:30,2,80,324.41,1.219165
10:00,EV-3000-002-T02,EV-3000,electric,EV-3000-002,2,930.290210533,15:30,3,29,873.945,2.04764
10:00,EV-3000-002-T02,EV-3000,electric,EV-3000-002,2,930.290210533,15:30,4,51,539.478,1.487489
10:00,EV-3000-002-T03,EV-3000,electric,EV-3000-002,3,1254.242190478,20:54,1,36,3000.0,9.344487
10:00,EV-3000-003-T02,EV-3000,electric,EV-3000-003,2,1006.748226544,16:47,1,59,3000.0,7.785846
10:00,EV-3000-003-T03,EV-3000,electric,EV-3000-003,3,1308.357330756,21:48,1,43,3000.0,8.070727
10:00,EV-3000-004-T01,EV-3000,electric,EV-3000-004,1,626.0,10:26,1,6,1473.642,3.947331
10:00,EV-3000-004-T01,EV-3000,electric,EV-3000-004,1,626.0,10:26,2,82,1493.082,4.67276
10:00,EV-3000-004-T02,EV-3000,electric,EV-3000-004,2,895.9639910734741,14:56,1,36,309.254,0.963273
10:00,EV-3000-004-T02,EV-3000,electric,EV-3000-004,2,895.9639910734741,14:56,2,89,46.248,0.2733
10:00,EV-3000-004-T02,EV-3000,electric,EV-3000-004,2,895.9639910734741,14:56,3,27,233.604,0.551913
10:00,EV-3000-004-T02,EV-3000,electric,EV-3000-004,2,895.9639910734741,14:56,4,77,1968.267,5.09682
10:00,EV-3000-004-T02,EV-3000,electric,EV-3000-004,2,895.9639910734741,14:56,5,98,25.5,0.0646
10:00,EV-3000-004-T02,EV-3000,electric,EV-3000-004,2,895.9639910734741,14:56,6,50,225.018,0.619564
10:00,EV-3000-005-T02,EV-3000,electric,EV-3000-005,2,1224.86801438,20:25,1,56,3000.0,7.528245
10:00,EV-3000-006-T02,EV-3000,electric,EV-3000-006,2,787.736503775,13:08,1,6,3000.0,8.035869
10:00,EV-3000-006-T03,EV-3000,electric,EV-3000-006,3,895.920520054,14:56,1,88,79.601,0.53748
10:00,EV-3000-006-T03,EV-3000,electric,EV-3000-006,3,895.920520054,14:56,2,31,771.621,1.759977
10:00,EV-3000-006-T03,EV-3000,electric,EV-3000-006,3,895.920520054,14:56,3,81,1343.612,3.64803
10:00,EV-3000-006-T04,EV-3000,electric,EV-3000-006,4,1195.703780701,19:56,1,39,3000.0,7.458962
10:00,EV-3000-007-T01,EV-3000,electric,EV-3000-007,1,634.0,10:34,1,8,3000.0,9.065423
10:00,EV-3000-007-T02,EV-3000,electric,EV-3000-007,2,803.425649367,13:23,1,7,3000.0,7.492424
10:00,EV-3000-007-T03,EV-3000,electric,EV-3000-007,3,991.236318026,16:31,1,70,3000.0,8.652022
10:00,EV-3000-008-T01,EV-3000,electric,EV-3000-008,1,634.0,10:34,1,8,2922.341,8.830752
10:00,EV-3000-008-T02,EV-3000,electric,EV-3000-008,2,803.425649367,13:23,1,7,3000.0,7.492424
10:00,EV-3000-008-T03,EV-3000,electric,EV-3000-008,3,991.236318026,16:31,1,59,2956.665,7.673379
10:00,EV-3000-008-T04,EV-3000,electric,EV-3000-008,4,1298.427465267,21:38,1,31,3000.0,6.842647
10:00,EV-3000-009-T01,EV-3000,electric,EV-3000-009,1,634.0,10:34,1,8,3000.0,9.065423
10:00,EV-3000-009-T02,EV-3000,electric,EV-3000-009,2,893.425649367,14:53,1,99,600.0,1.8
10:00,EV-3000-009-T02,EV-3000,electric,EV-3000-009,2,893.425649367,14:53,2,53,963.846,2.596344
10:00,EV-3000-009-T03,EV-3000,electric,EV-3000-009,3,1155.208270354,19:15,1,73,3000.0,7.294581
10:00,EV-3000-010-T01,EV-3000,electric,EV-3000-010,1,634.0,10:34,1,8,3000.0,9.065423
10:00,EV-3000-010-T02,EV-3000,electric,EV-3000-010,2,1141.425649367,19:01,1,10,3000.0,11.615065
10:00,EV-3000-010-T03,EV-3000,electric,EV-3000-010,3,1268.055632558,21:08,1,63,3000.0,8.20587
10:00,FUEL-3000-001-T02,FUEL-3000,fuel,FUEL-3000-001,2,1147.628552066,19:08,1,27,3000.0,7.087797
10:00,FUEL-3000-002-T02,FUEL-3000,fuel,FUEL-3000-002,2,936.799526457,15:37,1,92,1524.512,3.82045
10:00,FUEL-3000-002-T02,FUEL-3000,fuel,FUEL-3000-002,2,936.799526457,15:37,2,68,1414.987,3.326685
10:00,FUEL-3000-003-T02,FUEL-3000,fuel,FUEL-3000-003,2,833.86052326,13:54,1,64,2849.767,7.030528
10:00,FUEL-3000-003-T03,FUEL-3000,fuel,FUEL-3000-003,3,988.613916066,16:29,1,25,2528.135,5.33839
10:00,FUEL-3000-003-T04,FUEL-3000,fuel,FUEL-3000-003,4,1175.404543884,19:35,1,62,2804.296,8.132867
10:00,FUEL-3000-004-T02,FUEL-3000,fuel,FUEL-3000-004,2,780.11493358,13:00,1,49,1486.836,4.486502
10:00,FUEL-3000-004-T02,FUEL-3000,fuel,FUEL-3000-004,2,780.11493358,13:00,2,83,926.841,2.79316
10:00,FUEL-3000-004-T03,FUEL-3000,fuel,FUEL-3000-004,3,866.680840858,14:27,1,75,3000.0,7.812103
10:00,FUEL-3000-004-T04,FUEL-3000,fuel,FUEL-3000-004,4,1169.981692741,19:30,1,62,3000.0,8.700437
10:00,FUEL-3000-005-T02,FUEL-3000,fuel,FUEL-3000-005,2,798.326333164,13:18,1,49,3000.0,9.052448
10:00,FUEL-3000-005-T03,FUEL-3000,fuel,FUEL-3000-005,3,854.625695926,14:15,1,56,3000.0,7.528245
10:00,FUEL-3000-005-T04,FUEL-3000,fuel,FUEL-3000-005,4,1183.924587391,19:44,1,72,2725.323,7.50056
10:00,FUEL-3000-006-T02,FUEL-3000,fuel,FUEL-3000-006,2,797.01233237,13:17,1,74,3000.0,8.440433
10:00,FUEL-3000-006-T03,FUEL-3000,fuel,FUEL-3000-006,3,993.533542217,16:34,1,44,3000.0,7.660308
10:00,FUEL-3000-007-T02,FUEL-3000,fuel,FUEL-3000-007,2,797.01233237,13:17,1,64,3000.0,7.401161
10:00,FUEL-3000-007-T03,FUEL-3000,fuel,FUEL-3000-007,3,934.679984066,15:35,1,45,2799.925,8.88909
10:00,FUEL-3000-007-T04,FUEL-3000,fuel,FUEL-3000-007,4,1165.836372098,19:26,1,68,3000.0,7.053107
10:00,FUEL-3000-008-T02,FUEL-3000,fuel,FUEL-3000-008,2,684.036468293,11:24,1,61,3000.0,9.436114
10:00,FUEL-3000-008-T03,FUEL-3000,fuel,FUEL-3000-008,3,905.867529145,15:06,1,57,609.652,1.560139
10:00,FUEL-3000-008-T03,FUEL-3000,fuel,FUEL-3000-008,3,905.867529145,15:06,2,44,1552.309,3.963722
10:00,FUEL-3000-008-T04,FUEL-3000,fuel,FUEL-3000-008,4,1178.427752885,19:38,1,67,2918.815,8.92494
10:00,FUEL-3000-009-T02,FUEL-3000,fuel,FUEL-3000-009,2,684.036468293,11:24,1,61,3000.0,9.436114
10:00,FUEL-3000-009-T03,FUEL-3000,fuel,FUEL-3000-009,3,905.867529145,15:06,1,57,3000.0,7.677195
10:00,FUEL-3000-009-T04,FUEL-3000,fuel,FUEL-3000-009,4,1049.237297012,17:29,1,51,3000.0,8.271821
10:00,FUEL-3000-010-T02,FUEL-3000,fuel,FUEL-3000-010,2,724.036468293,12:04,1,41,2786.418,8.08285
10:00,FUEL-3000-010-T03,FUEL-3000,fuel,FUEL-3000-010,3,918.158231398,15:18,1,57,3000.0,7.677195
10:00,FUEL-3000-010-T04,FUEL-3000,fuel,FUEL-3000-010,4,1093.634323518,18:14,1,53,3000.0,8.081198
10:00,FUEL-3000-010-T05,FUEL-3000,fuel,FUEL-3000-010,5,1196.731484117,19:57,1,50,3000.0,8.260189
